- Guirguillano,"42.7209190329206,-1.8597625038"
- HiriberrioVillanueva-de-Aezkoa,"42.9503127504617,-1.1973264270"
- HuarteoUharte,"42.8288283458745,-1.5943938507"
- Ibargoiti,"42.6746212051705,-1.4627397445"
- Igantzi,"43.220866538448,-1.68973295815"
- Iguzquiza,"42.640815804305,-2.09246357406"
- Imotz,"42.9600910471077,-1.8028480700"
- Iraneta,"42.918795974566,-1.93476664794"
- Irurtzun,"42.9266539883868,-1.8261081424"
- IsabaoIzaba,"42.8968755542705,-0.8540435245"
- Ituren,"43.1287012270014,-1.7158964776"
- Iturmendi,"42.9107039107269,-2.1260342719"
- Iza,"42.8819789965952,-1.7701564768"
- Izagaondoa,"42.7426681201463,-1.4314670086"
- IzalzuoItzaltzu,"42.9273927598656,-1.0300112121"
- Jaurrieta,"42.9127155830256,-1.1541769900"
- Javier,"42.5397919580029,-1.2617937425"
- Juslapena,"42.8996945266884,-1.7009773514"
- Lakuntza,"42.9326820716542,-2.0136058342"
- Lana,"42.710113256575,-2.25457876990"
- Lantz,"43.009417494466,-1.60590231567"
- Lapoblacion,"42.6050394972641,-2.4603288870"
- Larraga,"42.5518167193388,-1.8590854223"
- Larraona,"42.7737413327035,-2.2554502147"
- Larraun,"43.0038335397783,-1.9017069784"
- Lazagurria,"42.49247297707,-2.233630810684"
- Leache,"42.6154709459665,-1.4096856149"
- Legarda,"42.7179562211199,-1.7777936081"
- Legaria,"42.642853289194,-2.17679434229"
- Leitza,"43.1229562051561,-1.8820799157"
- Lekunberri,"43.0060838399353,-1.9038906282"
- Leoz,"42.5859441316111,-1.5756556158"
- Lerga,"42.5619514206386,-1.5012548304"
- Lerin,"42.4900603746511,-1.9608966705"
- Lesaka,"43.2622376573452,-1.7261541273"
- Lezaun,"42.7865917520358,-2.0019052142"
- Liedena,"42.6115159620745,-1.2539562744"
- Lizoain,"42.8296562296082,-1.4695518997"
- Lodosa,"42.3950142509395,-2.0748259957"
- LonguidaoLongida,"42.7868344403538,-1.3604309941"
- Lumbier,"42.654369761927,-1.26584486725"
- Luquin,"42.579947909401,-2.12222261512"
- LuzaideoValcarlos,"43.0679124945006,-1.3046616494"
- Maneru,"42.6560361120974,-1.8499175928"
- Maranon,"42.6235965795148,-2.4412790788"
- Marcilla,"42.3485213420453,-1.7207913770"
- Melida,"42.3534566103572,-1.5308929286"
- Mendavia,"42.4478775527194,-2.2023661865"
- Mendaza,"42.6602291633493,-2.2509440471"
- Mendigorria,"42.6174848327155,-1.8407155449"
- Metauten,"42.6871425441958,-2.1264147258"
- Milagro,"42.2386085984767,-1.7640047201"
- Mirafuentes,"42.6232707844246,-2.2764906925"
- Miranda-de-Arga,"42.4842514540811,-1.8312515977"
- Monreal,"42.703816146367,-1.53098867174"
- Monteagudo,"41.9662618395552,-1.6948611084"
- Morentin,"42.5971642315669,-1.9937794404"
- Mues,"42.5966860057806,-2.2287912320"
- Murchante,"42.0419761320408,-1.6627794047"
- Murieta,"42.6582598580061,-2.1474762620"
- Murillo-el-Cuende,"42.3573073528258,-1.6024685537"
- Murillo-el-Fruto,"42.3999096382008,-1.4570152846"
- Muruzabal,"42.6905238264589,-1.7570913766"
- Navascues,"42.7265947557691,-1.1043390546"
- Nazar,"42.6395655117148,-2.2804427805"
